id,code,description,name
apsc-100,APSC 100,"An introduction to the engineering profession including: roles and responsibilities of the engineer, the engineering disciplines, sustainability, an introduction to the engineering design process, introduction and application of the relevant foundational scientific principles, prototyping, engineering graphics, technical communication, and engineering ethics. [2-2-0] Not eligible for Credit/D/Fail grading.",Introduction to Engineering I
apsc-101,APSC 101,"An introduction to the engineering profession including: the engineering design process, sustainability, prototype testing, introduction and application of the relevant foundational scientific principles, team functioning, engineering graphics, and technical communication. [2-2-0] Prerequisite: APSC 100. Not eligible for Credit/D/Fail grading.",Introduction to Engineering II
apsc-122,APSC 122,"Non-credit course designed to introduce students to Engineering. Information on the Faculty, the profession and the particular skills and type of work done by practising engineers in different disciplines. [1-0-0] Not eligible for Credit/D/Fail grading.",Introduction to Engineering
apsc-150,APSC 150,Application of scientific principles and technical knowledge to practical problems. Introduction to the engineering design process and to engineering graphics. [3-4-0] Not eligible for Credit/D/Fail grading.,Engineering Case Studies
apsc-151,APSC 151,"Orthographic projection, technical sketching, development of the ability to visualize in three dimensions. Standards and conventions of engineering drawing, graphical presentation of engineering data. Micro-computer-based graphics aids. Engineering geometry and the solution of space problems. [1-0-4] Not eligible for Credit/D/Fail grading.",Computer-Aided Engineering Graphics
apsc-160,APSC 160,"Analysis and simulation, laboratory data acquisition and processing, measurement interfaces, engineering tools, computer systems organization, programming languages. Credit will only be given for one of: APSC 160, CPSC 301, or EOSC 211. [3-2-0] Not eligible for Credit/D/Fail grading.",Introduction to Computation in Engineering Design
apsc-172,APSC 172,"Functions, limits, differentiation, applications of derivatives, integration, applications of definite integrals. [3-0-1] Not eligible for Credit/D/Fail grading.",Engineering Analysis I
apsc-173,APSC 173,"Integrals and transcendental functions, techniques of integration, applications of integration, polar coordinates, infinite sequences and series, vectors and the geometry of space, and partial derivatives. [3-0-1] Prerequisite: APSC 172. Not eligible for Credit/D/Fail grading.",Engineering Analysis II
apsc-176,APSC 176,"Purpose, audience, content, format, and tone are studied, as are team-based report writings and presentations. Community Service Learning projects are integrated into existing assignments. An LPI level 5 is required for registration. [2-0-2] Not eligible for Credit/D/Fail grading.",Engineering Communication
apsc-178,APSC 178,"Coulomb's law, electric field, Gauss' law, electric potential, conductors, capacitance, electric currents, resistance, DC circuits, magnetic fields and forces, sources of magnetic fields, electromagnetic induction, mechanical waves, electromagnetic waves, light propagation, geometrical optics. [4-0-2] Prerequisite: APSC 172. Corequisite: APSC 173. Not eligible for Credit/D/Fail grading.","Electricity, Magnetism, and Waves"
apsc-179,APSC 179,"Systems of linear equations, Gaussian elimination, engineering application of linear algebra, matrix operations, special matrices, determinants, vector space, orthogonality, eigenvalues and eigenvectors, linear transformation. [3-0-0]",Linear Algebra for Engineers
apsc-180,APSC 180,"Force vectors, Cartesian coordinate system, free body diagram, dot and cross products, forces equilibrium of particles, force and moment equilibrium of rigid bodies, analysis of trusses, frames and machines, friction, wedges, pulleys, and belts. Applications of linear algebra in statics. [3-0-2] Not eligible for Credit/D/Fail grading.",Statics
apsc-182,APSC 182,"Thermometry, states of matter and phase change, ideal and real gases, 1st law of thermodynamics, 2nd law of thermodynamics, liquids, solutions. [2-2*-2*] Not eligible for Credit/D/Fail grading.",Matter and Energy I
apsc-183,APSC 183,"Atomic structures and bonding, solid crystals, chemical equilibrium, reactions in gas phase and in aqueous solutions, acid-base and redox reactions, kinetics of chemical reactions, thermochemistry, electrochemistry. [2-2*-2*] Not eligible for Credit/D/Fail grading.",Matter and Energy II
apsc-201,APSC 201,"Written and oral communication in engineering. Report preparation, business correspondence, and oral presentation of technical material. Credit granted for only one of BMEG 201, CHBE 201, CIVL 203, CPEN 281, ELEC 281, IGEN 201, MANU 201, MECH 226, MTRL 201, or APSC 201. [3-0-0] Prerequisite: One of APSC 176, ENGL 110, ENGL 111, ENGL 112, ENGL 120, ENGL 121, WRDS 150. Not eligible for Credit/D/Fail grading.",Technical Communication
